#{"t_start": 1761577309.3243494, "env_id": "None"}
r,l,t
-90.5,96,0.048762
-90.1,100,0.085598
-90.5,96,0.119815
-90.5,96,0.155703
-90.5,96,0.188579
-90.5,96,0.231082
-90.0,101,0.26761
-90.5,96,0.296917
-90.5,96,0.32833
-90.5,96,0.36095
