#{"t_start": 1761576844.9446628, "env_id": "None"}
r,l,t
-413.0,88,21.074916
-407.0,94,21.15519
-415.0,86,21.376521
-410.0,91,21.463854
-407.0,94,21.573775
-412.0,89,21.646498
-421.0,80,21.707218
-418.0,83,22.583062
-405.0,96,22.663281
-415.0,86,22.729432
-405.0,96,22.805363
-405.0,96,22.872292
-415.0,86,22.923433
-405.0,96,23.049504
-420.0,81,23.103633
-470.0,31,23.125492
-409.0,92,23.193088
-448.0,53,23.229396
-412.0,89,23.293116
-406.0,95,24.189975
-429.0,72,24.249181
-410.0,91,24.323828
-470.0,31,24.350535
-405.0,96,24.441522
-413.0,88,24.555338
-410.0,91,24.644592
-470.0,31,24.671526
-405.0,96,24.755727
-405.0,96,24.832193
-407.0,94,24.907766
-411.0,90,24.978396
-470.0,31,25.002143
-409.0,92,25.077843
-470.0,31,25.990999
-412.0,89,26.059508
-470.0,31,26.085374
-470.0,31,26.114507
-405.0,96,26.198453
-470.0,31,26.226851
-413.0,88,26.301883
-417.0,84,26.372901
-470.0,31,26.39746
-408.0,93,26.475673
-405.0,96,26.561027
-406.0,95,26.639152
-405.0,96,26.734145
-405.0,96,26.856894
-411.0,90,27.840822
-451.0,50,27.884584
-414.0,87,27.966238
-405.0,96,28.046057
-421.0,80,28.108623
-413.0,88,28.17873
-405.0,96,28.300159
-418.0,83,28.366595
-411.0,90,28.437495
-412.0,89,28.519316
-412.0,89,28.593506
-416.0,85,28.663729
-412.0,89,29.677512
-418.0,83,29.741209
-419.0,82,29.805091
-410.0,91,29.883485
-413.0,88,29.952017
-409.0,92,30.024016
-415.0,86,30.086184
-418.0,83,30.146075
-414.0,87,30.210946
-406.0,95,30.300492
-406.0,95,30.37649
-410.0,91,30.45142
-438.0,63,31.35444
-405.0,96,31.460429
-405.0,96,31.545442
-470.0,31,31.577519
-405.0,96,31.658682
-407.0,94,31.728386
-405.0,96,31.803249
-407.0,94,31.874443
-409.0,92,31.944325
-405.0,96,32.022534
-405.0,96,32.089332
-413.0,88,32.933475
-417.0,84,33.006419
-405.0,96,33.091789
-413.0,88,33.189029
-412.0,89,33.260949
-405.0,96,33.339185
-408.0,93,33.519266
-405.0,96,33.600394
-458.0,43,33.638199
-413.0,88,33.743908
-413.0,88,33.818578
-405.0,96,33.891931
-409.0,92,34.757069
-409.0,92,34.84096
-412.0,89,34.91547
-408.0,93,34.988437
-412.0,89,35.063919
-405.0,96,35.131623
-415.0,86,35.202196
-417.0,84,35.264653
-416.0,85,35.324027
-411.0,90,35.391128
-407.0,94,35.467975
-412.0,89,35.531703
-405.0,96,36.448536
-470.0,31,36.470794
-405.0,96,36.544159
-414.0,87,36.616998
-405.0,96,36.697396
-415.0,86,36.767118
-405.0,96,36.843212
-405.0,96,36.919365
-410.0,91,36.994813
-405.0,96,37.088683
-406.0,95,37.157358
-410.0,91,37.919355
-415.0,86,37.986508
-405.0,96,38.055046
-405.0,96,38.123368
-405.0,96,38.22625
-405.0,96,38.321165
-407.0,94,38.40034
-406.0,95,38.476663
-410.0,91,38.546911
-405.0,96,38.616537
-405.0,96,38.687978
-405.0,96,39.578385
-405.0,96,39.658743
-405.0,96,39.736902
-407.0,94,39.843408
-405.0,96,39.922452
-408.0,93,40.000233
-407.0,94,40.077653
-406.0,95,40.161033
-411.0,90,40.23356
-410.0,91,40.301604
-405.0,96,40.377502
-405.0,96,41.331459
-405.0,96,41.410861
-405.0,96,41.494916
-405.0,96,41.574485
-405.0,96,41.641126
-405.0,96,41.71645
-411.0,90,41.789628
-405.0,96,41.858382
-407.0,94,41.921252
-406.0,95,41.984645
-408.0,93,42.047428
-405.0,96,42.867123
-470.0,31,42.903738
-406.0,95,42.993628
