#{"t_start": 1761578750.4681647, "env_id": "None"}
r,l,t
-470.0,31,22.861549
-470.0,31,22.888232
-454.0,47,22.927036
-429.0,72,22.986697
-465.0,36,23.014815
-458.0,43,23.049396
-437.0,64,23.101637
-405.0,96,23.182478
-470.0,31,23.210867
-422.0,79,23.274976
-458.0,43,23.308783
-470.0,31,23.333195
-454.0,47,23.378021
-454.0,47,23.417627
-455.0,46,23.460692
-470.0,31,23.483819
-426.0,75,23.547605
-443.0,58,23.599498
-444.0,57,23.650564
-436.0,65,23.706295
-405.0,96,23.804387
-443.0,58,23.850935
-407.0,94,23.926219
-437.0,64,23.981565
-405.0,96,24.059608
-459.0,42,24.09439
-439.0,62,24.147502
-412.0,89,24.224411
-459.0,42,24.264057
-405.0,96,26.522434
-437.0,64,26.585349
-465.0,36,26.621075
-458.0,43,26.658462
-421.0,80,26.736628
-406.0,95,26.822697
-428.0,73,26.893385
-405.0,96,26.979084
-405.0,96,27.062341
-405.0,96,27.150852
-421.0,80,27.217667
-415.0,86,27.303625
-405.0,96,27.395163
-470.0,31,27.421794
-433.0,68,27.477234
-426.0,75,27.54454
-406.0,95,27.619673
-451.0,50,27.664866
-437.0,64,27.725649
-409.0,92,27.805168
-446.0,55,27.85027
-405.0,96,27.936671
-405.0,96,28.016636
-424.0,77,28.075611
-408.0,93,28.148709
-405.0,96,28.277257
-434.0,67,30.926589
-457.0,44,30.966556
-444.0,57,31.01571
-431.0,70,31.077352
-438.0,63,31.139648
-405.0,96,31.241627
-442.0,59,31.295478
-405.0,96,31.44035
-405.0,96,31.538137
-437.0,64,31.601365
-415.0,86,31.690369
-420.0,81,31.782183
-417.0,84,31.948252
-433.0,68,32.028719
-457.0,44,32.08085
-451.0,50,32.132674
-405.0,96,32.240684
-405.0,96,32.348715
-407.0,94,32.44354
-405.0,96,32.533989
-405.0,96,32.619513
-438.0,63,32.677181
-420.0,81,32.75181
-438.0,63,32.810285
-405.0,96,32.907966
-405.0,96,33.001428
-412.0,89,33.077036
-421.0,80,35.514469
-434.0,67,35.576224
-405.0,96,35.667404
-411.0,90,35.759085
-431.0,70,35.832192
-405.0,96,35.920649
-439.0,62,35.980334
-444.0,57,36.03514
-410.0,91,36.138021
-405.0,96,36.250774
-405.0,96,36.336073
-405.0,96,36.424115
-414.0,87,36.536666
-416.0,85,36.624607
-414.0,87,36.700881
-405.0,96,36.796401
-446.0,55,36.854395
-426.0,75,36.936665
-421.0,80,37.030004
-426.0,75,37.133063
-431.0,70,37.208282
-405.0,96,37.304506
-405.0,96,37.399796
-405.0,96,37.48936
-405.0,96,40.043095
-405.0,96,40.127505
-425.0,76,40.199088
-405.0,96,40.291847
-417.0,84,40.37175
-405.0,96,40.453827
-415.0,86,40.531379
-418.0,83,40.611279
-405.0,96,40.701848
-411.0,90,40.782588
-418.0,83,40.860029
-405.0,96,40.949027
-438.0,63,41.012238
-407.0,94,41.109783
-405.0,96,41.212991
-410.0,91,41.299269
-412.0,89,41.383783
-416.0,85,41.467999
-406.0,95,41.552806
-423.0,78,41.624689
-423.0,78,41.703063
-421.0,80,41.773491
-424.0,77,41.841244
-416.0,85,41.921225
-432.0,69,44.608829
-421.0,80,44.691805
-407.0,94,44.782142
-410.0,91,44.870133
-413.0,88,44.974937
-428.0,73,45.046792
-416.0,85,45.123998
-405.0,96,45.215532
-416.0,85,45.296237
-410.0,91,45.434196
-418.0,83,45.552141
-407.0,94,45.684599
-422.0,79,45.775003
-427.0,74,45.861932
-415.0,86,45.976625
-413.0,88,46.071664
-415.0,86,46.184259
-405.0,96,46.276818
-409.0,92,46.398045
-421.0,80,46.499242
-422.0,79,46.591248
-425.0,76,46.669812
-405.0,96,46.777008
-405.0,96,46.887793
-405.0,96,49.704853
-405.0,96,49.799108
-405.0,96,49.897521
-405.0,96,49.9925
-405.0,96,50.083053
-405.0,96,50.175628
-411.0,90,50.274574
-417.0,84,50.365092
-405.0,96,50.449972
-405.0,96,50.595134
-405.0,96,50.69452
-405.0,96,50.782643
-413.0,88,50.860179
-420.0,81,50.933146
-405.0,96,51.027572
-405.0,96,51.130663
-405.0,96,51.225959
-408.0,93,51.332911
-405.0,96,51.429625
-405.0,96,51.559471
-405.0,96,51.653709
-418.0,83,51.741956
-405.0,96,54.674116
-405.0,96,54.768021
-405.0,96,54.878657
-405.0,96,54.970712
-416.0,85,55.049134
-405.0,96,55.141101
-405.0,96,55.238827
-407.0,94,55.330556
-406.0,95,55.415471
-405.0,96,55.510577
-405.0,96,55.602087
-470.0,31,55.633232
-470.0,31,55.664433
-405.0,96,55.76136
-405.0,96,55.861476
-409.0,92,55.946821
-407.0,94,56.034038
-405.0,96,56.122208
-416.0,85,56.192864
-405.0,96,56.274132
-405.0,96,56.370568
-405.0,96,56.49736
-413.0,88,56.602068
-405.0,96,59.653265
-405.0,96,59.746751
-405.0,96,59.843776
-405.0,96,59.941596
-405.0,96,60.035842
-405.0,96,60.133454
-405.0,96,60.231775
-405.0,96,60.330574
-470.0,31,60.366497
-405.0,96,60.46763
-470.0,31,60.500413
-405.0,96,60.605107
-405.0,96,60.707092
-429.0,72,60.783257
-405.0,96,60.897034
-405.0,96,61.016332
-405.0,96,61.150639
-405.0,96,61.263684
-406.0,95,61.375051
-410.0,91,61.467572
-470.0,31,61.499683
-405.0,96,61.599426
-405.0,96,61.705632
-405.0,96,64.532443
-405.0,96,64.625015
-412.0,89,64.705517
-405.0,96,64.791786
-405.0,96,64.878395
-407.0,94,64.959919
-405.0,96,65.047184
-405.0,96,65.1484
-405.0,96,65.243261
-405.0,96,65.334161
-405.0,96,65.418945
-416.0,85,65.497673
-412.0,89,65.594203
-405.0,96,65.690927
-470.0,31,65.718875
-405.0,96,65.806365
-410.0,91,65.886133
-406.0,95,65.970865
-405.0,96,66.057282
-405.0,96,66.147094
-470.0,31,66.183971
-405.0,96,66.27901
-411.0,90,66.367892
-405.0,96,69.041799
-405.0,96,69.130087
-405.0,96,69.212131
-405.0,96,69.297123
-405.0,96,69.386459
-407.0,94,69.473437
-470.0,31,69.498847
-405.0,96,69.613644
-405.0,96,69.69417
-409.0,92,69.776798
-470.0,31,69.800662
-405.0,96,69.884099
-405.0,96,69.96664
-407.0,94,70.044975
-405.0,96,70.131988
-405.0,96,70.231281
-415.0,86,70.31665
-406.0,95,70.409793
-405.0,96,70.498808
-405.0,96,70.587146
-405.0,96,70.674368
-405.0,96,70.7616
-405.0,96,70.850926
-405.0,96,73.576629
-405.0,96,73.665591
-405.0,96,73.748372
-405.0,96,73.833525
-405.0,96,73.920993
