#{"t_start": 1761574451.0741138, "env_id": "None"}
r,l,t
-96.8,33,1.493784
-96.9,32,1.495723
-96.8,33,1.497757
-96.9,32,1.499677
-96.9,32,1.501375
-96.4,37,1.503582
-96.9,32,1.506915
-96.9,32,1.508723
-96.9,32,1.510547
-96.9,32,1.512393
-96.7,34,1.514376
-96.9,32,1.517477
-96.8,33,1.519665
-96.9,32,1.521709
-96.9,32,1.524513
-96.9,32,1.526518
-96.8,33,1.528749
-96.9,32,1.530711
-96.9,32,1.532651
-96.3,38,1.534823
-97.0,31,1.538294
-96.8,33,1.540815
-97.0,31,1.542747
-96.8,33,1.544972
-96.9,32,1.546867
-96.8,33,1.548543
-96.9,32,1.550066
-96.6,35,1.551806
-96.9,32,1.554457
-96.5,36,1.557343
-97.0,31,1.598914
-96.8,33,1.663205
-97.0,31,1.715366
-96.7,34,1.765384
-96.8,33,1.807285
-97.0,31,1.885782
-96.1,40,1.939782
-96.9,32,1.980432
-96.9,32,2.023586
-97.0,31,2.063963
-96.6,35,2.107362
-96.6,35,2.150302
-96.9,32,2.192817
-96.3,38,2.246961
-96.9,32,2.291071
-96.6,35,2.333763
-96.7,34,2.383219
-96.9,32,2.426579
-96.9,32,2.471995
-97.0,31,2.518478
-96.9,32,2.56441
-97.0,31,2.6014
-96.9,32,2.645581
-96.9,32,2.688344
-96.8,33,2.739056
-96.5,36,2.789315
-96.5,36,2.839338
-96.3,38,2.88673
-96.7,34,2.933112
-96.7,34,2.979009
-96.9,32,3.035409
-96.9,32,3.080565
-96.9,32,3.125261
-97.0,31,3.172167
-96.6,35,3.222203
-96.9,32,3.26855
-96.9,32,3.317619
-96.9,32,3.36315
-96.4,37,3.411219
-96.9,32,3.453922
-96.7,34,3.496548
-96.7,34,3.54614
-96.4,37,3.597442
-96.8,33,3.640498
-96.7,34,3.701223
-96.6,35,3.791585
-96.7,34,3.859305
-96.5,36,3.909265
-96.7,34,3.959825
-96.9,32,4.007594
-96.9,32,4.050624
-96.9,32,4.09745
-96.9,32,4.136863
-96.8,33,4.180809
-96.9,32,4.226896
-96.8,33,4.268029
-96.7,34,4.315055
-96.5,36,4.364144
-97.0,31,4.40032
-96.6,35,4.446084
-96.7,34,4.493044
-96.6,35,4.536051
-96.9,32,4.581157
-96.9,32,4.625747
-96.9,32,4.667033
-96.7,34,4.71872
-96.4,37,4.768972
-96.8,33,4.814554
-96.9,32,4.858577
-96.7,34,4.905061
-96.8,33,4.951832
-97.0,31,4.996265
-96.8,33,5.046258
-96.3,38,5.101006
-96.9,32,5.148554
-96.8,33,5.196473
-97.0,31,5.242053
-96.9,32,5.288582
-96.9,32,5.331316
-96.9,32,5.377289
-96.8,33,5.427376
-96.7,34,5.47059
-96.8,33,5.519635
-96.9,32,5.57015
-96.6,35,5.615756
-97.0,31,5.664989
-96.9,32,5.711219
-96.9,32,5.757961
-96.8,33,5.846828
-96.9,32,5.894155
-96.8,33,5.94878
-96.8,33,6.005495
-96.8,33,6.084736
-96.8,33,6.156587
-97.0,31,6.21313
-96.8,33,6.264019
-96.9,32,6.313814
-96.8,33,6.374065
-96.8,33,6.425691
-96.7,34,6.477948
-97.0,31,6.524039
-96.8,33,6.568819
-96.9,32,6.617295
-96.5,36,6.676845
-96.7,34,6.730627
-96.8,33,6.782424
-96.8,33,6.837626
-96.9,32,6.898029
-96.9,32,6.952876
-96.8,33,7.01461
-96.9,32,7.075025
-96.8,33,7.13299
-96.9,32,7.183169
-96.9,32,7.229006
-96.9,32,7.276191
-97.0,31,7.323735
-96.9,32,7.371414
-96.9,32,7.424464
-96.9,32,7.478068
-96.7,34,7.52542
-96.5,36,7.580336
-96.9,32,7.626838
-96.9,32,7.677306
-96.9,32,7.730441
-96.7,34,7.786519
-96.7,34,7.839955
-96.8,33,7.923437
-97.0,31,7.97073
-96.9,32,8.023552
-97.0,31,8.120514
-96.6,35,8.177956
-96.7,34,8.228178
-97.0,31,8.284037
-96.9,32,8.351504
-96.5,36,8.447507
-96.5,36,8.521953
-96.8,33,8.572579
-96.9,32,8.624924
-96.6,35,8.684263
-96.9,32,8.733397
-96.9,32,8.78412
-96.9,32,8.838449
-96.9,32,8.887814
-96.8,33,8.941519
-96.8,33,8.99056
-96.6,35,9.051814
-96.9,32,9.105239
-96.9,32,9.156385
-96.6,35,9.210602
-96.8,33,9.259351
-96.8,33,9.307909
-97.0,31,9.355692
-96.7,34,9.411079
-97.0,31,9.455297
-96.9,32,9.508589
-95.8,43,9.576692
-96.9,32,9.629037
-96.7,34,9.682656
-96.9,32,9.730716
-96.6,35,9.7809
-96.6,35,9.840543
-96.9,32,9.891726
-96.9,32,9.942402
-96.9,32,9.993913
-96.9,32,10.04478
-96.9,32,10.088618
-96.9,32,10.136938
-96.8,33,10.182709
-96.9,32,10.232446
-96.6,35,10.291174
-96.7,34,10.349884
-96.8,33,10.430875
-96.9,32,10.480141
-96.9,32,10.534591
-96.7,34,10.589194
-96.8,33,10.694436
-96.9,32,10.771362
-96.8,33,10.840991
-96.7,34,10.891766
-96.6,35,10.949998
-96.9,32,11.004393
-96.9,32,11.051032
-96.9,32,11.107028
-97.0,31,11.164614
-96.5,36,11.22575
-96.7,34,11.299989
-96.5,36,11.380229
-96.6,35,11.446319
-96.8,33,11.503338
-96.6,35,11.563527
-96.8,33,11.611483
-96.7,34,11.670386
-96.8,33,11.730125
-96.6,35,11.790675
-96.7,34,11.867942
-96.6,35,11.929497
-97.0,31,11.981216
-96.6,35,12.041177
-97.0,31,12.085648
-96.5,36,12.145955
-96.8,33,12.212294
-96.7,34,12.276561
-96.8,33,12.340925
-96.9,32,12.397232
-96.8,33,12.457302
-97.0,31,12.509305
-96.9,32,12.571595
-96.9,32,12.626179
-96.6,35,12.683135
-96.9,32,12.733667
-96.9,32,12.783316
-96.9,32,12.84555
-96.9,32,12.898947
-96.8,33,12.954428
-96.9,32,13.032257
-96.9,32,13.132092
-96.9,32,13.198133
-96.1,40,13.264453
-96.7,34,13.323604
-96.8,33,13.377636
-96.7,34,13.435224
-97.0,31,13.482351
-97.0,31,13.533047
-96.9,32,13.584146
-96.8,33,13.634725
-96.5,36,13.698174
-96.9,32,13.747973
-96.9,32,13.79879
-96.9,32,13.850819
-96.8,33,13.907916
-96.8,33,13.966843
-96.8,33,14.013719
-97.0,31,14.060684
-96.9,32,14.110331
-96.9,32,14.158838
-96.9,32,14.208352
-96.9,32,14.255344
-96.9,32,14.306197
-96.8,33,14.3579
-96.6,35,14.412149
-96.8,33,14.462254
-96.8,33,14.514383
-96.7,34,14.57105
-96.9,32,14.615322
-96.7,34,14.700427
-96.9,32,14.750401
-96.8,33,14.811113
-97.0,31,14.858156
-96.9,32,14.919453
-96.8,33,14.980274
-96.7,34,15.035295
-96.8,33,15.084784
-96.5,36,15.141294
-96.8,33,15.19936
-97.0,31,15.248361
-96.7,34,15.319716
-97.0,31,15.390484
-96.6,35,15.470978
-96.6,35,15.529956
-96.9,32,15.585919
-96.9,32,15.640845
-97.0,31,15.692389
-96.9,32,15.743125
-96.8,33,15.79642
-96.8,33,15.85184
-96.9,32,15.905156
-95.7,44,15.976416
-97.0,31,16.030479
-96.9,32,16.084722
-96.7,34,16.147363
-96.8,33,16.203219
-96.9,32,16.256857
-96.9,32,16.46833
-96.8,33,16.520577
-96.9,32,16.567479
-96.9,32,16.619038
-96.5,36,16.676483
-96.9,32,16.727871
-97.0,31,16.78095
-96.8,33,16.827579
-96.9,32,16.876327
-96.2,39,16.935512
-96.9,32,16.981717
-96.8,33,17.038003
-96.8,33,17.089605
-96.9,32,17.140215
-96.9,32,17.190907
-96.8,33,17.242956
-97.0,31,17.287884
-96.9,32,17.339692
-96.9,32,17.38885
-96.4,37,17.4533
-96.9,32,17.506745
-96.9,32,17.565593
-97.0,31,17.622373
-96.7,34,17.730056
-97.0,31,17.824214
-96.9,32,17.88421
-96.7,34,17.938513
-96.5,36,18.012695
-96.6,35,18.121171
-96.8,33,18.19665
-96.8,33,18.249459
-96.8,33,18.310386
-96.3,38,18.367127
-96.5,36,18.431041
-96.9,32,18.48232
-96.8,33,18.534322
-96.9,32,18.584346
-97.0,31,18.636801
-96.8,33,18.689868
-96.8,33,18.754159
-96.6,35,18.806537
-96.9,32,18.856164
-96.9,32,18.907261
-96.8,33,18.966326
-96.6,35,19.018114
-97.0,31,19.066192
-96.8,33,19.12587
-96.9,32,19.177156
-96.9,32,19.237598
-96.9,32,19.289755
-96.6,35,19.347923
-96.7,34,19.407347
-96.9,32,19.459799
-96.9,32,19.513081
-97.0,31,19.560659
-96.7,34,19.618954
-96.7,34,19.677387
-96.8,33,19.735394
-96.9,32,19.790468
-97.0,31,19.840802
-96.9,32,19.899413
-96.8,33,19.963989
-96.7,34,20.031907
-96.5,36,20.113329
-96.9,32,20.16908
-96.6,35,20.230307
-97.0,31,20.282379
-96.9,32,20.335592
-96.9,32,20.388164
-97.0,31,20.431843
-96.9,32,20.482671
-96.9,32,20.535008
-96.8,33,20.594673
-96.9,32,20.647651
-95.4,47,20.716227
-96.9,32,20.766648
-96.8,33,20.830069
-96.6,35,20.882621
-96.7,34,20.943137
-96.6,35,21.000795
-96.7,34,21.052608
-96.8,33,21.103729
-96.7,34,21.162833
-96.8,33,21.255748
-96.9,32,21.307299
-96.9,32,21.364251
-96.9,32,21.418744
-96.9,32,21.474529
-96.7,34,21.535822
-96.7,34,21.589794
-96.5,36,21.653196
-96.9,32,21.70331
-96.8,33,21.755908
-96.6,35,21.815949
-96.8,33,21.868734
-96.5,36,21.930153
-96.8,33,21.984792
-96.2,39,22.046402
-96.7,34,22.111363
-96.3,38,22.178943
-96.7,34,22.247833
-96.9,32,22.315484
-96.9,32,22.386091
-96.6,35,22.460362
-96.9,32,22.516948
-96.9,32,22.564916
-96.8,33,22.654105
-96.7,34,22.707387
-96.2,39,22.781367
-96.0,41,22.84886
-96.8,33,22.915569
-96.8,33,23.000879
-96.8,33,23.056046
-96.9,32,23.113024
-96.8,33,23.177459
-96.3,38,23.291374
-96.7,34,23.350969
-96.9,32,23.410469
-96.7,34,23.471238
-96.4,37,23.545169
-96.8,33,23.61248
-96.3,38,23.677458
-97.0,31,23.730875
-96.9,32,23.786987
-96.8,33,23.840038
-96.9,32,23.896454
-96.8,33,23.948216
-96.9,32,24.001249
-96.9,32,24.054625
-96.8,33,24.106518
-96.5,36,24.167783
-96.5,36,24.227594
-96.9,32,24.282633
-97.0,31,24.381218
-96.7,34,24.445504
-96.9,32,24.546729
-96.9,32,24.611918
-95.7,44,24.705077
-96.6,35,24.765297
-96.3,38,24.834841
-96.9,32,24.897838
-96.7,34,24.954845
-96.9,32,25.009522
-96.4,37,25.073407
-96.9,32,25.123634
-96.9,32,25.180766
-96.9,32,25.231662
-96.9,32,25.287689
-96.8,33,25.340759
-97.0,31,25.400812
-96.8,33,25.457227
-96.8,33,25.511574
-96.8,33,25.567952
-96.7,34,25.627404
-96.7,34,25.680811
-96.7,34,25.741476
-97.0,31,25.794361
-96.9,32,25.85327
-96.4,37,25.929619
-96.7,34,25.985204
-96.7,34,26.043931
-96.9,32,26.097651
-96.7,34,26.151408
-96.9,32,26.21655
-96.7,34,26.275818
-96.8,33,26.332609
-96.9,32,26.432694
-95.8,43,26.502868
-96.9,32,26.551455
-96.7,34,26.613225
-96.8,33,26.680359
-96.2,39,26.745727
-96.9,32,26.799762
-97.0,31,26.855161
-96.3,38,26.938409
-96.7,34,27.010958
-96.8,33,27.070345
-96.5,36,27.130966
-96.7,34,27.185615
-96.0,41,27.252417
-96.7,34,27.3114
-96.4,37,27.372083
-96.9,32,27.419677
-96.9,32,27.47691
-96.4,37,27.533361
-96.7,34,27.595927
-96.8,33,27.65219
-96.5,36,27.709098
-96.9,32,27.763271
-96.8,33,27.815272
-96.9,32,27.870095
-96.9,32,27.92578
