#{"t_start": 1761574705.165462, "env_id": "None"}
r,l,t
-93.3,68,0.048921
-93.3,68,0.108433
-93.5,66,0.143061
-91.5,86,0.189224
-92.3,78,0.232935
-93.5,66,0.274719
-92.0,81,0.330824
-90.5,96,0.392124
-92.2,79,0.446492
-92.1,80,0.49002
