#{"t_start": 1761576449.4221244, "env_id": "None"}
r,l,t
-470.0,31,27.58921
-470.0,31,27.614937
-470.0,31,27.643372
-405.0,96,27.724123
-404.0,97,27.805293
-470.0,31,27.835724
-470.0,31,28.337412
-470.0,31,28.361218
-470.0,31,28.385235
-470.0,31,28.408839
-405.0,96,28.476223
-470.0,31,28.508141
-470.0,31,28.535423
-405.0,96,28.619021
-405.0,96,28.770674
-470.0,31,28.813853
-470.0,31,28.854835
-405.0,96,28.942847
-470.0,31,28.970293
-470.0,31,28.993432
-470.0,31,29.033405
-470.0,31,29.059263
-405.0,96,29.137924
-405.0,96,29.232599
-470.0,31,29.268389
-407.0,94,29.939752
-470.0,31,29.970683
-405.0,96,30.059989
-405.0,96,30.153334
-405.0,96,30.238981
-470.0,31,30.26927
-470.0,31,30.29583
-405.0,96,30.38568
-470.0,31,30.419634
-413.0,88,30.532116
-405.0,96,30.65117
-400.0,101,30.748971
-405.0,96,30.857453
-405.0,96,30.949898
-405.0,96,31.618374
-470.0,31,31.654126
-416.0,85,31.747097
-405.0,96,31.843462
-405.0,96,31.937371
-405.0,96,32.035006
-405.0,96,32.125757
-405.0,96,32.235978
-405.0,96,32.32871
-470.0,31,32.359244
-419.0,82,32.434834
-409.0,92,32.518597
-405.0,96,33.118715
-402.0,99,33.220001
-401.0,100,33.305588
-405.0,96,33.405795
-405.0,96,33.493462
-405.0,96,33.574205
-405.0,96,33.659936
-405.0,96,33.756441
-435.0,66,33.836727
-405.0,96,34.079559
-429.0,72,34.156513
-418.0,83,34.755065
-470.0,31,34.790298
-470.0,31,34.824575
-405.0,96,34.90478
-405.0,96,35.005402
-470.0,31,35.037501
-405.0,96,35.135343
-405.0,96,35.215195
-405.0,96,35.334177
-405.0,96,35.446942
-470.0,31,35.473773
-405.0,96,35.566691
-405.0,96,35.668586
-405.0,96,35.759466
-405.0,96,36.38574
-405.0,96,36.492399
-405.0,96,36.593833
-405.0,96,36.693573
-405.0,96,36.779506
-405.0,96,36.874539
-405.0,96,36.979238
-412.0,89,37.06663
-405.0,96,37.153765
-405.0,96,37.287616
-405.0,96,37.943759
-405.0,96,38.046128
-405.0,96,38.134972
-405.0,96,38.233131
-405.0,96,38.316102
-405.0,96,38.405967
-405.0,96,38.503255
-405.0,96,38.591966
-405.0,96,38.671621
-405.0,96,38.763437
-405.0,96,38.851042
-405.0,96,39.40546
-405.0,96,39.503928
-405.0,96,39.591878
-405.0,96,39.701956
-407.0,94,39.84216
-405.0,96,39.953639
-405.0,96,40.04511
-419.0,82,40.12069
-405.0,96,40.197873
-405.0,96,40.281116
-405.0,96,40.355882
-470.0,31,40.378745
-405.0,96,40.956117
-405.0,96,41.070528
-405.0,96,41.148756
-405.0,96,41.230093
-405.0,96,41.307064
-405.0,96,41.386704
-405.0,96,41.469534
-405.0,96,41.551805
-405.0,96,41.634109
-405.0,96,41.71699
-405.0,96,42.372148
-402.0,99,42.471867
-399.0,102,42.577276
-405.0,96,42.698882
-405.0,96,42.787729
-405.0,96,42.872628
-470.0,31,42.902026
