#{"t_start": 1761577018.0846298, "env_id": "None"}
r,l,t
-89.8,103,55.67909
-97.0,31,55.734498
-90.5,96,55.920311
-97.0,31,55.980413
-90.5,96,56.164139
-88.2,119,56.44919
-94.8,53,56.574064
-90.5,96,56.811116
-90.5,96,57.012071
-97.0,31,57.082439
-71.6,186,57.457799
-94.4,57,57.579596
-92.8,73,57.729706
-89.1,110,57.958272
-97.0,31,58.02163
-88.3,118,58.293462
-90.4,97,58.513801
-90.5,96,58.718853
-90.5,96,58.926872
-90.5,96,59.14125
-95.7,44,59.233944
-93.2,69,59.374829
-90.5,96,59.57397
-97.0,31,59.643401
-92.9,72,59.789696
-90.5,96,59.989959
-90.5,96,60.195908
-90.5,96,60.389116
-90.5,96,60.575732
-90.5,96,60.792923
-95.2,49,60.889683
-90.5,96,61.092267
-89.6,105,61.372654
-97.0,31,61.440594
-95.3,48,61.539864
-90.5,96,61.738234
-90.5,96,61.922641
-97.0,31,61.994694
-90.5,96,62.187017
-90.5,96,62.447623
-97.0,31,62.510605
-89.1,110,62.773742
-90.5,96,62.978039
-90.5,96,63.188305
-90.5,96,63.384907
-90.5,96,63.617053
-89.8,103,63.825304
-90.5,96,64.020825
-90.5,96,64.215627
-90.5,96,64.46857
-90.5,96,64.670752
-90.5,96,64.853276
-90.5,96,65.045953
-90.5,96,65.239362
-90.5,96,65.426677
-90.5,96,65.615029
-90.5,96,65.906338
-97.0,31,65.975079
-90.5,96,66.20311
-97.0,31,66.267232
-90.5,96,66.469019
-90.5,96,66.673113
-90.5,96,66.875993
-90.1,100,67.091416
-94.5,56,67.203667
-94.3,58,67.359456
-90.5,96,67.545481
-90.5,96,67.710979
-90.5,96,67.895988
-90.0,101,68.123713
-89.6,105,68.352024
-97.0,31,68.412297
-95.9,42,68.503565
-90.5,96,68.703391
-97.0,31,68.758283
-97.0,31,68.820629
-90.5,96,69.00604
-97.0,31,69.073279
-97.0,31,69.137884
-97.0,31,69.19456
-90.5,96,69.378025
-90.5,96,69.566781
-90.1,100,69.764667
-97.0,31,69.830499
-93.3,68,69.959512
-97.0,31,70.054236
-90.5,96,70.258371
-90.3,98,70.473221
-90.0,101,70.676087
-90.5,96,70.959242
-88.6,115,71.206702
-92.4,77,71.373061
-97.0,31,71.432892
-90.5,96,71.628034
-90.5,96,71.842293
-90.5,96,72.023493
-97.0,31,72.08973
-94.5,56,72.200457
-90.5,96,72.388937
-97.0,31,72.446354
-89.8,103,72.687654
-93.5,66,72.836359
-93.4,67,72.973808
-90.5,96,73.173688
-90.5,96,73.365604
-97.0,31,73.432087
-97.0,31,73.491743
-90.5,96,73.697617
-90.5,96,73.891035
-90.7,94,74.112955
-91.6,85,74.344984
-92.3,78,74.57949
-90.5,96,74.809408
-97.0,31,74.881088
-90.5,96,75.167534
-90.5,96,75.400397
-90.5,96,75.650813
-97.0,31,75.718049
-97.0,31,75.783022
-90.5,96,75.996788
-97.0,31,76.065621
-97.0,31,76.126954
-97.0,31,76.216148
-90.5,96,76.433392
-94.2,59,76.571128
-89.6,105,76.809974
-97.0,31,76.879402
-90.5,96,77.10342
-97.0,31,77.175862
-90.5,96,77.464794
-94.3,58,77.613702
-90.5,96,77.963141
-90.5,96,78.230338
-90.5,96,78.500585
-90.5,96,78.769244
-90.5,96,79.056276
-97.0,31,79.12729
-97.0,31,79.199907
-92.6,75,79.376299
-90.5,96,79.635172
-90.5,96,79.887197
-97.0,31,79.958622
-90.4,97,80.202514
-97.0,31,80.27667
-90.5,96,80.541961
-97.0,31,80.621637
-96.0,41,80.727193
-97.0,31,80.81709
-97.0,31,80.895987
-88.8,113,81.149337
-90.5,96,81.406126
-93.9,62,81.540839
-90.5,96,81.749306
-90.5,96,82.02711
-97.0,31,82.101908
-90.5,96,82.316907
-90.5,96,82.534672
-90.5,96,82.803234
-91.1,90,83.006839
-97.0,31,83.065264
-90.5,96,83.280804
-97.0,31,83.34944
-97.0,31,83.417988
-90.5,96,83.634659
-90.5,96,83.841374
-97.0,31,83.90645
-90.5,96,84.109746
-89.4,107,84.357076
-90.5,96,84.557398
-90.5,96,84.761973
-90.5,96,85.008554
-97.0,31,85.083713
-90.5,96,85.300407
-90.5,96,85.554636
-90.4,97,85.765534
-90.5,96,85.965549
-94.3,58,86.091892
-97.0,31,86.15036
-89.9,102,86.352678
-90.5,96,86.58119
-90.5,96,86.78671
-90.5,96,86.982466
-90.5,96,87.181976
-97.0,31,87.253686
-97.0,31,87.33064
-88.7,114,87.567037
-90.5,96,87.765575
-97.0,31,87.879657
-90.5,96,88.074476
-97.0,31,88.139893
-90.5,96,88.367981
-88.4,117,88.656163
-90.5,96,88.950041
-97.0,31,89.035548
-89.2,109,89.326522
-97.0,31,89.407199
-90.5,96,89.640819
-97.0,31,89.711273
-90.2,99,90.002449
-90.5,96,90.230433
-89.1,110,90.515671
-88.9,112,90.775113
-90.5,96,91.011001
-90.5,96,91.260338
-90.5,96,91.477893
-88.6,115,91.763084
-90.5,96,91.992362
-97.0,31,92.063907
-90.5,96,92.277751
-89.6,105,92.522781
-90.5,96,92.717514
-90.5,96,92.941303
-90.5,96,93.145798
-90.5,96,93.359477
-89.7,104,93.580232
-88.1,120,93.833405
-90.5,96,94.060208
-90.5,96,94.308881
-90.2,99,94.551868
-89.6,105,95.052665
-90.5,96,95.260638
-90.5,96,95.456429
-90.5,96,95.662642
-90.5,96,95.870817
-90.5,96,96.065755
-90.5,96,96.264153
-97.0,31,96.363837
-90.5,96,96.558209
-90.5,96,96.756954
-97.0,31,96.830164
-90.5,96,97.025607
-93.2,69,97.176553
-97.0,31,97.242767
-90.5,96,97.450565
-97.0,31,97.511229
-90.5,96,97.709598
-97.0,31,97.77435
-97.0,31,97.841572
-90.5,96,98.09518
-90.5,96,98.311655
-90.1,100,98.524666
-90.5,96,98.7786
-90.5,96,98.999699
-97.0,31,99.069183
-90.5,96,99.283811
-97.0,31,99.375516
-90.5,96,99.607284
-94.5,56,99.732284
-90.2,99,99.943308
-90.5,96,100.161754
-90.5,96,100.39569
-97.0,31,100.45802
-88.5,116,100.70243
-97.0,31,100.767399
-90.5,96,101.026791
-90.5,96,101.23789
-93.3,68,101.390926
-90.3,98,101.610606
-90.5,96,101.823066
-90.5,96,102.062643
-90.5,96,102.285762
-90.5,96,102.497279
-90.5,96,102.712405
-90.5,96,102.9439
-90.5,96,103.163325
-97.0,31,103.233949
-90.5,96,103.450558
-97.0,31,103.519815
-97.0,31,103.590865
-97.0,31,103.648698
-94.5,56,103.776115
-90.5,96,104.050539
-77.8,124,104.344603
-94.1,60,104.480821
-90.5,96,104.707916
-88.2,119,104.982073
-94.5,56,105.09944
-97.0,31,105.168177
-97.0,31,105.236498
-94.3,58,105.355338
-97.0,31,105.434153
-90.5,96,105.652664
-97.0,31,105.722151
-90.5,96,105.921293
-90.5,96,106.136156
