#{"t_start": 1761573077.6086333, "env_id": "None"}
r,l,t
-95.6,45,17.580316
-96.4,37,17.617114
-96.6,35,17.655694
-96.5,36,17.69751
-96.3,38,17.735836
-95.9,42,17.96774
-93.9,62,18.034028
-96.1,40,18.079155
-96.0,41,18.126878
-96.0,41,18.174675
-95.5,46,18.233502
-90.5,96,19.306349
-95.3,48,19.358185
-93.6,65,19.467227
-96.6,35,19.508556
-96.4,37,19.555141
-94.7,54,19.622633
-92.4,77,19.703864
-93.6,65,19.784229
-90.5,96,19.885067
-94.2,59,19.94693
-96.8,33,19.979259
-94.2,59,20.034878
-93.3,68,20.10085
-97.0,31,20.132565
-97.0,31,20.161309
-94.8,53,20.209382
-89.6,105,20.308677
-96.6,35,20.341218
-97.0,31,20.36966
-94.4,57,20.426185
-90.5,96,20.521253
-97.0,31,20.555162
-95.8,43,20.59828
-95.7,44,20.643207
-97.0,31,20.673205
-93.3,68,20.734548
-97.0,31,20.765849
-93.4,67,20.838547
-96.4,37,20.87839
-96.0,41,20.925766
-90.5,96,21.033556
-97.0,31,21.070634
-95.3,48,21.121433
-97.0,31,21.150502
-94.4,57,21.210761
-94.7,54,21.27248
-95.6,45,21.323447
-90.5,96,22.217894
-96.2,39,22.257489
-91.9,82,22.339072
-96.4,37,22.374006
-96.4,37,22.408198
-91.9,82,22.492591
-95.5,46,22.538383
-90.5,96,22.638952
-96.1,40,22.676199
-90.6,95,22.787878
-94.5,56,22.848913
-97.0,31,22.886862
-90.5,96,22.996511
-93.0,71,23.063768
-90.5,96,23.169281
-93.4,67,23.257255
-95.5,46,23.313347
-90.5,96,23.414525
-96.8,33,23.446427
-97.0,31,23.480649
-97.0,31,23.52017
-95.3,48,23.585098
-94.5,56,23.664204
-95.1,50,23.721197
-95.6,45,23.774722
-95.7,44,23.825017
-91.0,91,23.925798
-95.6,45,23.975696
-90.5,96,24.075616
-94.8,53,24.130572
-90.5,96,24.235496
-90.5,96,24.363164
-94.9,52,24.417791
-89.7,104,25.379753
-93.1,70,25.451684
-89.9,102,25.555613
-95.6,45,25.600051
-90.5,96,25.702635
-90.5,96,25.812438
-90.5,96,25.918375
-90.4,97,26.012539
-90.5,96,26.113988
-91.0,91,26.214749
-94.6,55,26.285681
-97.0,31,26.329225
-90.8,93,26.446223
-90.5,96,26.575514
-92.2,79,26.672131
-90.5,96,26.783968
-96.0,41,26.832928
-95.9,42,26.885143
-97.0,31,26.919657
-92.0,81,27.00341
-92.8,73,27.082387
-97.0,31,27.116433
-94.1,60,27.19035
-97.0,31,27.222554
-90.5,96,27.338145
-95.9,42,27.386225
-97.0,31,27.435948
-95.3,48,27.54485
-97.0,31,27.586661
-90.5,96,27.698251
-95.2,49,28.7273
-90.5,96,28.876061
-92.5,76,28.995147
-95.5,46,29.053324
-97.0,31,29.090313
-96.1,40,29.144803
-90.5,96,29.287362
-90.5,96,29.397766
-90.5,96,29.513769
-90.5,96,29.62726
-91.7,84,29.734627
-97.0,31,29.778091
-90.5,96,29.907686
-97.0,31,29.942489
-92.3,78,30.055948
-90.7,94,30.195138
-90.5,96,30.371266
-90.5,96,30.516611
-94.6,55,30.582214
-90.5,96,30.69018
-90.5,96,30.791825
-91.3,88,30.89195
-90.5,96,30.996469
-90.5,96,31.093309
-90.5,96,31.203086
-97.0,31,31.239394
-97.0,31,31.277189
-90.5,96,32.515779
-97.0,31,32.558603
-95.0,51,32.624751
-90.3,98,32.756074
-97.0,31,32.79231
-92.7,74,32.899117
-90.5,96,33.030622
-91.1,90,33.155818
-92.5,76,33.25541
-96.3,38,33.302145
-90.5,96,33.421121
